"neurons.1","neurons.DBT","neurons.DPT","neurons.RH","neurons.1.1","neurons.2","neurons.3","neurons.4","neurons.5","neurons.6","net.result"
1,26.4,12.5,42,1,1,0.999999863163399,0.000000000000000179052126383627,1,1,0.999977931791055
1,26.4,13.3,45,1,1,0.999999845280942,0.0000000000000000473475754535267,1,1,0.999977931790159
1,27,12,39,1,1,0.999999936400111,0.000000000000000418170275429244,1,1,0.999977931794724
1,27.7,12.8,39,1,1,0.999999981037437,0.000000000000000194439147293856,1,1,0.999977931796961
1,26.3,12.6,43,1,1,0.999999821229814,0.000000000000000131285288070462,1,1,0.999977931788954
1,27.4,15.4,48,1,1,0.999999973552228,0.00000000000000000390530612027355,1,1,0.999977931796586
1,27.6,14.5,45,1,1,0.99999997684641,0.0000000000000000137672121435489,1,1,0.999977931796751
1,28,14.4,43,1,1,0.999999989052931,0.0000000000000000218073801132766,1,1,0.999977931797362
1,27.8,10.5,34,1,1,0.999999960794495,0.00000000000000260836180450768,1,1,0.999977931795947
1,26.2,10.5,37,1,1,0.999999753528377,0.0000000000000024936811735827,1,1,0.999977931785563
1,27.2,9.6,33,1,1,0.999999899350055,0.00000000000000765069175298589,1,1,0.999977931792868
1,28.6,12.5,37,1,1,0.99999999169524,0.000000000000000252635585118872,1,1,0.999977931797495
1,29.4,16.8,47,1,1,0.999999998494866,0.000000000000000000902804382756481,1,1,0.999977931797835
1,28.6,13,38,1,1,0.999999993182616,0.000000000000000145918038248239,1,1,0.999977931797569
1,28,13.4,41,1,1,0.99999998375512,0.0000000000000000653694115740405,1,1,0.999977931797097
1,28.4,11.6,35,1,1,0.999999987549839,0.000000000000000812374758543057,1,1,0.999977931797287
1,24.6,16.1,59,1,1,0.9999980435547,0.000000000000000000411074221798779,1,1,0.999977931699894
1,26.4,12.5,42,1,1,0.999999863163399,0.000000000000000179052126383627,1,1,0.999977931791055
1,29,10.4,31,1,1,0.999999991353429,0.00000000000000359578880831897,1,1,0.999977931797478
1,28.1,15.3,45,1,1,0.999999992276023,0.00000000000000000718466690860658,1,1,0.999977931797524
1,26.6,13.6,45,1,1,0.999999898210388,0.0000000000000000368340821347048,1,1,0.999977931792811
1,27.8,17.4,53,1,1,0.99999998687672,0.000000000000000000249840910347226,1,1,0.999977931797253
1,27.2,15.9,50,1,1,0.999999966771067,0.0000000000000000018332024592129,1,1,0.999977931796246
1,24.6,18,67,1,1,0.999996554906513,0.000000000000000000013160141832612,1,1,0.999977931625312
1,28.2,14.5,43,1,1,0.999999991165885,0.0000000000000000185709508043145,1,1,0.999977931797468
1,27.4,13,41,1,1,0.999999965764735,0.000000000000000110744433828334,1,1,0.999977931796196
1,27.4,10.4,34,1,1,0.999999945641951,0.00000000000000343769443333682,1,1,0.999977931795188
1,26.9,7.3,29,1,0.999999999999999,0.999999643645615,0.0000000000000936172336371056,1,1,0.999977931780058
1,27,9.8,34,1,1,0.999999874413029,0.00000000000000568019252741604,1,1,0.999977931791619
1,27.6,10.7,35,1,1,0.99999995108094,0.00000000000000193655655058637,1,1,0.99997793179546
1,27.2,11.9,39,1,1,0.999999937045449,0.000000000000000389818407831683,1,1,0.999977931794757
1,26.9,9.4,33,1,1,0.999999853885902,0.00000000000000995805155356664,1,1,0.999977931790591
1,28,12.1,37,1,1,0.999999982498137,0.000000000000000427998113570139,1,1,0.999977931797034
1,29.8,12.9,36,1,1,0.999999997943308,0.000000000000000145661954149514,1,1,0.999977931797808
1,30,12.8,35,1,1,0.999999998511717,0.000000000000000187518668727915,1,1,0.999977931797836
1,30.4,14.8,39,1,1,0.999999999460136,0.0000000000000000165669353466337,1,1,0.999977931797884
1,31,9.6,27,1,0.999999999999847,0.999999998181859,0.00000000000000592058009973419,1,1,0.99997793179782
1,31,3.8,18,1,0.999999956470864,0.999999959486689,0.00000000000148985715470969,1,1,0.999977931792814
1,29.6,5.5,22,1,0.999999999916756,0.999999945135313,0.000000000000426020863474713,1,1,0.999977931795156
1,27.2,0.7,18,1,0.999999993900695,0.999991883123747,0.0000000000542542282045224,1,1,0.999977931390826
1,27.2,4.6,22,1,0.999999999970969,0.99999947051706,0.00000000000255708585273244,1,1,0.999977931771382
1,28,7.3,27,1,0.999999999999967,0.999999897323299,0.0000000000000946277963492526,1,1,0.999977931792767
1,28.6,3.6,20,1,0.999999999161103,0.99999964207125,0.00000000000341669174087994,1,1,0.99997793177992
1,24.5,12.1,46,1,1,0.999997904632637,0.000000000000000176610120626427,1,1,0.999977931692934
1,25.4,7.3,32,1,1,0.99999788207636,0.0000000000000844819356432466,1,1,0.999977931691803
1,23.6,13,51,1,1,0.999993364475553,0.0000000000000000393460891898653,1,1,0.999977931465472
1,25.6,6,29,1,1,0.999997210345719,0.000000000000356871491169731,1,1,0.99997793165815
1,25.2,6.1,27,1,0.99999999999999,0.999998314794445,0.000000000000819428651681315,1,1,0.999977931713482
1,28,8.3,29,1,0.999999999999998,0.999999930808416,0.0000000000000315680419110504,1,1,0.999977931794444
1,30.6,10.5,29,1,0.999999999999992,0.999999998301264,0.00000000000000260311058364743,1,1,0.999977931797826
1,30.4,13.8,36,1,1,0.999999999414336,0.0000000000000000685807853466456,1,1,0.999977931797882
1,27.2,16.7,53,1,1,0.999999962428551,0.000000000000000000484762138893595,1,1,0.999977931796028
1,27.8,14,43,1,1,0.999999981571456,0.0000000000000000293285542865737,1,1,0.999977931796988
1,29.4,15.3,42,1,1,0.999999998545901,0.00000000000000000893570188085375,1,1,0.999977931797838
1,27.2,16.7,53,1,1,0.999999962428551,0.000000000000000000484762138893595,1,1,0.999977931796028
1,30,14.5,39,1,1,0.999999999081865,0.0000000000000000239012247024906,1,1,0.999977931797865
1,28.8,13.7,40,1,1,0.999999994422039,0.0000000000000000496735985635201,1,1,0.999977931797631
1,27.2,7,28,1,0.999999999999995,0.99999970097131,0.000000000000124528190925981,1,1,0.99997793178293
1,27.8,2.3,19,1,0.999999997761848,0.999998453123115,0.0000000000134780118018768,1,1,0.999977931720255
1,28.4,5.1,23,1,0.999999999989043,0.999999778460746,0.000000000000738889099388803,1,1,0.999977931786811
