Day_Number,	DTRAD,		Energy
1,		13.376854808,	3009.7923317986
2,		12.4119047939,	2792.6785786222
3,		12.8495111266,	2891.140003486
4,		13.4143695434,	3018.2331472661
5,		13.4596571353,	3028.4228554332
6,		12.2781276991,	2762.5787323014
7,		12.2781276991,	2762.5787323014
8,		12.4819506095,	2808.4388871422
9,		12.7959471546,	2879.0881097788
10,		13.5425757552,	3047.0795449248
11,		13.1958432997,	2969.064742438
12,		13.1958432997,	2969.064742438
13,		12.2781276991,	2762.5787323014
14,		13.4850780398,	3034.1425589539
15,		13.6249770404,	3065.6198340922
16,		13.6132203409,	3062.9745767129
17,		13.7569655116,	3095.3172401134
18,		13.7468775659,	3093.0474523365
19,		13.4339532271,	3022.6394761045
20,		16.4470985035,	3700.5971632972
21,		16.4470985035,	3700.5971632972
22,		12.5822145931,	2830.9982834387
23,		13.999751233,	3149.9440274237
24,		13.0271191327,	2931.1018048655
25,		12.4191700455,	2794.3132602448
26,		12.5556239038,	2825.0153783657
27,		12.5556239038,	2825.0153783657
28,		12.1848694425,	2741.5956245631
29,		13.0959631304,	2946.5917043376
30,		12.9115067195,	2905.0890118777
31,		12.7280422878,	2863.8095147451
32,		12.5556239038,	2825.0153783657
33,		13.4560291127,	3027.606550358
34,		15.4170439275,	3468.8348836768
35,		13.6133606675,	3063.0061501875
36,		13.6133606675,	3063.0061501875
37,		13.6823309277,	3078.5244587313
38, 	13.173086039,	2963.9443587822
39,		13.5326240766,	3044.8404172418
40,		13.1998797366,	2969.9729407305
41,		14.8015331692,	3330.3449630618
42,		14.8015331692,	3330.3449630618
43,		15.0676052495,	3390.2111811416
44,		14.8839611652,	3348.8912621754
45,		16.0601347735,	3613.5303240305
46,		19.2792036234,	4337.8208152693
47,		17.7829314117,	4001.159567635
48,		19.1389519066,	4306.264178986
49,		17.438372324,	3923.6337729007
50,		17.438372324,	3923.6337729007
51,		15.3347143602,	3450.3107310501
52,		18.6548170594,	4197.333838368
