DBT,WBT,DPT,RH,VP,DD,FFF
16.0,15.0,14.3,090,16.3,00,000
17.4,15.4,14.0,081,16.0,00,000
15.6,15.2,14.9,096,16.9,00,000
14.8,14.4,14.1,096,16.1,00,000
15.0,14.6,14.3,096,16.3,00,000
13.2,12.9,12.7,097,14.7,00,000
13.8,13.4,13.1,096,15.1,00,000
15.7,15.0,14.5,093,16.5,00,000
17.4,16.0,15.1,086,17.1,00,000
16.6,16.0,15.6,094,17.7,00,000
12.2,12.0,11.8,098,13.8,00,000
14.2,13.0,12.1,087,14.1,00,000
15.4,14.8,14.4,094,16.4,00,000
19.2,18.2,17.6,091,20.1,00,000
16.4,16.2,16.1,098,18.3,00,000
15.6,15.0,14.6,094,16.6,00,000
15.4,14.6,14.0,092,16.0,00,000
13.2,12.8,12.5,098,14.5,00,000
13.6,12.0,10.7,083,12.9,00,000
16.0,14.6,13.6,086,15.6,00,000
18.6,16.9,15.9,084,18.1,00,000
17.6,16.0,15.0,085,17.0,00,000
17.0,16.6,16.3,096,18.5,00,000
18.0,17.4,17.0,094,19.4,00,000
16.6,16.0,15.7,094,17.8,00,000
16.6,15.6,14.9,090,16.9,00,000
13.6,12.4,11.4,087,13.5,00,000
13.0,11.6,10.4,084,12.6,00,000
14.6,12.6,11.0,079,13.1,00,000
14.8,13.4,12.4,085,14.4,00,000
14.8,13.0,11.6,081,13.7,00,000
15.8,14.2,13.0,084,15.0,00,000
16.0,15.0,14.3,090,16.3,00,000
15.4,15.0,14.7,096,16.8,00,000
16.4,15.6,15.1,092,17.1,00,000
15.6,14.8,14.2,092,16.2,00,000
14.8,13.4,12.3,085,14.3,00,000
15.6,14.4,13.6,088,15.6,00,000
17.0,12.4,8.5,057,11.1,00,000
15.6,11.3,7.4,058,10.3,00,000
16.2,13.2,10.9,071,13.0,0,000
16.2,14.2,12.8,080,14.8,00,000
16.6,14.6,13.2,080,15.2,00,000
18.6,15.9,14.1,075,16.1,27,004
17.2,14.8,13.1,077,15.1,00,000
